recipe_slug	score_bound
falafel	2.046166808390138
spamburger	1.9250603929025334
bacon-fried-rice	1.8798969300160193
chicken-fingers	2.0285067445114233
apple-crisp	2.5086167349174735
cranberry-apple-crisp	2.558312218814442
bacon-chocolate-chip-cookies	2.570739278645801
sujebi	2.079879500989147
pasta-primavera	1.9905384127465124
ramen	2.182423534577511
brownies	2.752550209210818
bacon-wrapped-scallops	1.7980942982199215
bacon-egg-muffins	1.810131935145299
breakfast-burritos	2.2297621417612903
bolognese-sauce	2.243437743920167
croissants	2.2968374536017584
bacon-souffle	1.620790161266703
souffle	2.2412598271737383
chocolate-souffle	2.4929447484746787
butter-croissants	2.0188001935448288
pickled-green-beans	2.2952925836980596
fried-oysters	2.2317580114706623
peanut-butter-brownies	2.590807458898368
almond-chip-cookies	2.4593092675567614
guacamole	2.3539656315142654
brioche-bread	2.7553013059376505
brioche-bread-with-chocolate	2.668917564672382
asparagus-quiche	2.310570314449768
asparagus-burger	2.3573441549412792
ma-la-chicken	2.1445822186081767
cold-noodles-with-tomatoes	2.3613668281240097
tamales	2.3582067119760417
enchiladas	2.2908005753514704
tacos	2.336049882887876
burritos	2.253679284697505
peanut-butter-cupcakes	2.3183748545661915
pickled-asparagus	2.195515652564877
chocolate-peanut-butter-cake	2.6641850566073906
udon	2.2472414885100775
vegetable-lasagna	1.9678235691402057
maple-bacon-donuts	1.8256143410565446
maple-bacon-pancakes	1.761342711267733
spinach-and-ricotta-stuffed-shells	2.037629658125211
quesadillas	2.359334352031291
pico-de-gallo	2.2606162448316685
nachos	2.284881480266948
cold-soba-noodles-with-tomato-and-cucumber	2.2790188321157965
fajitas	2.3525313748237267
loaded-nachos	2.2724951963706697
lasagna	2.1217798307663864
chicken-nuggets	2.109484852028989
pain-au-chocolat	2.4188756516324217
nacho-dip	2.22703568427106
nacho-salad	2.3279690747335815
nacho-casserole	2.2409106176725926
nacho-fries	2.3502067635581954
tempura-udon	2.26970497044639
peach-crisp	2.4099316519974177
apple-pie	2.36238654014392
blueberry-crisp	2.3196165436312333
berry-crumble	2.0565546639381758
strawberry-rhubarb-crisp	2.606067815043292
peach-cobbler	2.2275005512987773
cranberry-sauce	2.2876684434429344
cherry-cobbler	2.166918533167068
apple-crumble	2.3799192464969017
chocolate-croissants	2.6174717184417013
french-toast	2.2003948986201554
chocolate-babka	2.8354805716109808
cinnamon-babka	2.1755868721574236
blueberry-crumble	2.102491710348127
spam-musubi	1.9065305439348454
taco-salad	2.339777227302168
chiles-rellenos	2.2593662487114052
almond-croissants	2.223879923869394
cranberry-relish	2.287668443442934
ma-la-beef	2.29695846558675
chocolate-cake	2.6457039975451058
spinach-quiche	2.1780710433104153
mushroom-quiche	2.3547975173671065
quiche-lorraine	2.2552695670923955
croissant-aux-amandes	2.3120461014537024
danishes	2.307021947862667
spinach-and-feta-quiche	2.27562313923882
cold-sesame-noodles	2.279113309294854
soba-noodle-salad-with-peanut-dressing	2.2711863707892244
dan-dan-noodles	2.362423085635033
vanilla-souffle	2.3249544084995026
bacon-wrapped-dates	1.7816428937481794
cherry-pie	2.2451218367989485
berry-crisp	2.3710255536900995
bacon-and-egg-breakfast-sandwich	1.8092045368593923
bacon-wrapped-shrimp-skewers	1.8471676921199138
bacon-wrapped-chicken	1.8682610685253174
bacon-wrapped-asparagus	1.8579190004550121
bacon-mac-and-cheese	1.8475876460849812
chicken-alfredo-lasagna	2.041463388890386
classic-beef-lasagna	2.1983277990243044
vegetarian-mushroom-lasagna	2.0735649741465743
spinach-and-ricotta-lasagna	2.1914602732315007
