recipe_slug	score_estimate
falafel	0.2807027866466882
spamburger	0.029347409157848107
bacon-fried-rice	0.010608284486688685
chicken-fingers	0.2396006749921768
apple-crisp	0.7358749582208517
cranberry-apple-crisp	0.7317826634738132
bacon-chocolate-chip-cookies	0.8547862414214049
sujebi	0.25607758481407217
pasta-primavera	0.30415913020990054
ramen	0.27120732415513565
brownies	0.5768479155363918
bacon-wrapped-scallops	0.021953413609385193
bacon-egg-muffins	0.03526591144548376
breakfast-burritos	0.41565982695955694
bolognese-sauce	0.4833383514578888
croissants	0.4834356899901535
bacon-souffle	0.11776891294570736
souffle	0.4849699616561813
chocolate-souffle	0.9099648044154813
butter-croissants	0.5022240691635131
pickled-green-beans	0.4867740601050138
fried-oysters	0.45290888101639887
peanut-butter-brownies	0.6110748693926152
almond-chip-cookies	0.7343451999707106
guacamole	0.4984025654102609
brioche-bread	0.5006570512003974
brioche-bread-with-chocolate	0.9503694177685716
asparagus-quiche	0.49204654123730096
asparagus-burger	0.4954399296316367
ma-la-chicken	0.2674396153830189
cold-noodles-with-tomatoes	0.4795864874516942
tamales	0.48537893759237033
enchiladas	0.49237669101123244
tacos	0.4890723449672563
burritos	0.46969952380850827
peanut-butter-cupcakes	0.5205471636098847
pickled-asparagus	0.4439220689050518
chocolate-peanut-butter-cake	0.9385686488818347
udon	0.4757031897654539
vegetable-lasagna	0.49962817865358605
maple-bacon-donuts	0.06746092071490767
maple-bacon-pancakes	0.02569550818582096
spinach-and-ricotta-stuffed-shells	0.48377807794207306
quesadillas	0.489853319719984
pico-de-gallo	0.5099381882593546
nachos	0.4912123803660444
cold-soba-noodles-with-tomato-and-cucumber	0.4901433586675998
fajitas	0.5051374471532187
loaded-nachos	0.48041830465885477
lasagna	0.4620968321878097
chicken-nuggets	0.24929946173829412
pain-au-chocolat	0.5145522397794434
nacho-dip	0.48272219631430024
nacho-salad	0.5074419028902358
nacho-casserole	0.4820309150920066
nacho-fries	0.49832362447807194
tempura-udon	0.47316731229950554
peach-crisp	0.7201377480765019
apple-pie	0.5097443895733491
blueberry-crisp	0.7218749580416326
berry-crumble	0.5503045750610047
strawberry-rhubarb-crisp	0.7392866208496919
peach-cobbler	0.5091407762530457
cranberry-sauce	0.49778859244593265
cherry-cobbler	0.515535055186744
apple-crumble	0.5062227564028965
chocolate-croissants	0.9490495363490492
french-toast	0.44305739041578357
chocolate-babka	0.9569627021235771
cinnamon-babka	0.5472458088696319
blueberry-crumble	0.5201418782394827
spam-musubi	0.04123375908131419
taco-salad	0.4896477516255473
chiles-rellenos	0.4788238533433512
almond-croissants	0.510605417123502
cranberry-relish	0.49778859244593265
ma-la-beef	0.47520834591495437
chocolate-cake	0.9736639898240024
spinach-quiche	0.4728598689453371
mushroom-quiche	0.4988611600980953
quiche-lorraine	0.46637326175193994
croissant-aux-amandes	0.47540832773418973
danishes	0.5138970053081495
spinach-and-feta-quiche	0.5116014349546837
cold-sesame-noodles	0.4830732766141547
soba-noodle-salad-with-peanut-dressing	0.47998928861072543
dan-dan-noodles	0.4860944692105695
vanilla-souffle	0.5083639094131117
bacon-wrapped-dates	0.04204170638807718
cherry-pie	0.5123332453747931
berry-crisp	0.7049834087895525
bacon-and-egg-breakfast-sandwich	0.033455803445599064
bacon-wrapped-shrimp-skewers	0.018232130962900887
bacon-wrapped-chicken	0.0209651437334291
bacon-wrapped-asparagus	0.04414874876600709
bacon-mac-and-cheese	0.024882907777536385
chicken-alfredo-lasagna	0.2731988239880859
classic-beef-lasagna	0.4877649686822599
vegetarian-mushroom-lasagna	0.48731650501359103
spinach-and-ricotta-lasagna	0.48354665675719083
